GUN_PK	BARREL_LENGTH	CALIBER	FRAME_MATERIAL	GUN_IS_DIRTY	LAST_CARRIED_DATE	LAST_CLEANED_DATE	LAST_FIRED_DATE	MAKE	MARKET_COST	MARKET_COST_DATE	MARKET_URL	MODEL	NICKNAME	NOTES	PURCHASE_COST	PURCHASE_DATE	SERIAL	SIGHTED_DATE
40	3.10	9mm	Composite	FALSE	2022-10-21	2023-02-19	2022-06-12	Sig Sauer	545.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/sig-sauer-p365-9mm-luger-striker-fired-10-1-rounds-3-1-barrel-new?p=81390	P365 STS	Halle		550.00	2021-05-26	66B538053	N/A
41	4.00	9mm	Composite	FALSE	1970-01-01	2023-02-19	2022-06-12	FN	578.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/fn-509-midsize-9mm-luger-(9x19-para)-striker-fired-15-1-rounds-4-barrel-new?p=424297	509 Midsize	Belle		650.00	2021-06-16	GKS0198741	N/A
42	6.00	9mm	Metal	TRUE	1970-01-01	2022-04-13	2022-07-02	Masterpiece Arms	472.00	2022-04-06	https://truegunvalue.com/pistol/Masterpiece-Arms-Defender-30T/price-historical-value	Defender 30T	Courtney		550.00	2021-07-08	FX25141	N/A
43	3.50	45 Auto	Metal	FALSE	2022-08-20	2022-11-24	2021-11-21	Beretta	799.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/stoeger-cougar-8000-40-s-w-semi-auto-10-rounds-3-5-barrel-used?p=316019	8045 Cougar	Judith		610.00	2021-08-06	054644MC CA1 10170	N/A
44	2.50	357 Magnum	Metal	FALSE	2022-04-10	2022-11-24	2022-07-17	Ruger	699.00	2022-04-06	https://www.guns.com/firearms/handguns/revolver/ruger-sp101-357-mag-revolver-5-rounds-23-barrel-used?p=432724	SP101	Sinnamon		600.00	2021-08-27	573-89046	N/A
45	4.25	45 Auto	Metal	FALSE	2021-12-31	2022-02-23	2021-11-21	Sig Sauer	1241.00	2022-04-06		P220	Nikita		1100.00	2021-08-31	G281684	N/A
46	4.00	9mm	Metal	FALSE	2022-03-18	2022-02-23	2022-02-12	Smith & Wesson	729.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/smith-&-wesson-39-2-9-mm-semi-auto-8-rounds-4-barrel-used?p=348740	Model 39-2	Cleopatra		530.00	2021-09-24	A232306	N/A
47	14.00	12 Ga	Metal	TRUE	1970-01-01	2021-11-26	2022-03-06	Mossberg	478.00	2022-04-06	https://www.guns.com/firearms/shotguns/pump-action/mossberg-590-shockwave-12-ga-pump-action-51-rounds-14-4-barrel-new?p=470886	590 Shockwave	Sonya		550.00	2021-11-12	V1433494	N/A
48	4.75	357 Magnum	Metal	FALSE	1970-01-01	2023-02-19	2023-01-29	Taylor & Company	668.00	2022-04-06	https://taylorsfirearms.com/hand-guns/cartridge-revolvers/outlaw-legacy-blued-engraved-model.html	Outlaw Legacy	Jesse		600.00	2022-01-30	E129738	N/A
49	3.70	9mm	Metal	FALSE	2023-01-16	2022-11-24	2022-05-07	Kriss	807.00	2022-04-06	https://truegunvalue.com/pistol/Kriss-Sphinx/price-historical-value	Sphinx	Christine		960.00	2022-02-01	S12B000368	N/A
50	20.80	223 Rem	Composite	TRUE	1970-01-30	2022-03-09	2022-07-02	Heckler & Koch	1633.00	2022-04-06		SL8	April		1700.00	2022-03-08	48-025005	N/A
54	3.20	9mm	Composite	FALSE	2023-03-18	2022-11-24	2022-07-02	Walther	359.00	2022-05-22		PPS	Camille		359.00	2022-05-22	AO2734	N/A
86	20.00	357 Magnum	Metal	TRUE	2022-06-07	2022-06-08	2023-01-29	Henry	1100.00	2022-06-07	Original Purchase	Big Boy Classic	Maeve		1100.00	2022-06-07	BB0116484M	N/A
118	4.00	9mm	Composite	FALSE	2023-02-19	2023-02-19	2022-07-17	Bul Armory	1.00	2022-07-26	http://www.fozden.com	Axe C Cleaver	Lizzie		670.00	2022-06-17	SP-19754	N/A
120	3.30	9mm	Composite	FALSE	2023-03-04	2022-11-24	2022-08-13	Heckler & Koch	661.00	2022-07-29		P30SK	Hilde		661.00	2022-07-29	214-053880	N/A
152	5.00	45 Auto	Metal	FALSE	1971-09-12	2022-11-25	1971-09-12	Auto Ordnance	600.00	2022-08-22		1911 A1	Rosie		600.00	2022-08-22	AOA29505	N/A
153	4.70	45 Auto	Metal	FALSE	2022-10-26	2022-11-24	2022-11-11	Smith & Wesson	700.00	2022-10-26		Model 4506	Kelley		700.00	2022-10-26	TDJ6015	N/A
185	16.10	9mm	Composite	FALSE	2023-03-13	2023-03-13	2023-03-13	Kel-Tec	480.00	2023-03-13	Original Purchase	SUB-2000	Lyndsy		480.00	2023-03-13	XXXXXXX	N/A
